final_rank,content_id,client_id,final_refresh_score,best_model_name,best_model_probability,baseline_refresh_score,confidence,suggested_action,final_reason_codes,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,content_age_days,days_since_last_update,word_count,trend_direction,competition_level,content_type,main_intent,age_tier,freshness_tier,word_count_tier,impression_tier,position_tier
63,content_2db43735a69a,client_7f2253d7e2,78.26463777711984,random_forest,0.8050461412182822,0.689571383393424,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate|engagement_review_candidate,1,36130,145,126,11.1,0.4,225,20,4109.0,down,LOW,keyword article,informational,181-365,0-30,3500+,excellent,striking
64,content_164dff885baf,client_7f2253d7e2,78.2578044605573,random_forest,0.8401229726610905,0.6129776555260771,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,22949,19,27,23.6,0.08,132,20,4968.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
65,content_8c6cdc6b2e1e,client_19581e27de,78.24317364583648,random_forest,0.7233298568781029,0.8668440580651927,high,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,15443,21,29,2.9,0.14,126,104,2548.0,down,LOW,keyword article,informational,91-180,91-180,2000-3500,good,top_3
66,content_673fe764797f,client_7f2253d7e2,78.19709713427399,random_forest,0.8526556945000482,0.5837987032165532,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,13672,68,70,25.7,0.5,141,20,4233.0,down,LOW,keyword article,informational,91-180,0-30,3500+,good,page_3_5
67,content_4a7f389bfe72,client_3fdba35f04,78.14708191050758,random_forest,0.7974559071753617,0.7024425198367347,medium,refresh_and_review_ctr,declining_with_demand|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2266,3,6,4.8,0.13,131,104,1516.0,down,LOW,keyword article,transactional,91-180,91-180,1000-2000,moderate,page_1
68,content_816431f05a3b,client_3fdba35f04,78.12182848936018,random_forest,0.8485269107782817,0.5904478555555555,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,1922,0,25,33.4,0.0,165,104,1495.0,down,MEDIUM,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
69,content_ecd0b428fcae,client_3fdba35f04,78.11702297783533,random_forest,0.7989036904400383,0.6983548515538548,high,refresh_and_review_ctr,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|model_decline_risk|visible_model_opportunity|ctr_review_candidate,1,2114,2,11,4.2,0.09,310,104,1395.0,down,LOW,keyword article,transactional,181-365,91-180,1000-2000,moderate,page_1
70,content_d88a80933ba2,client_7f2253d7e2,78.11048623654122,random_forest,0.8203820957276753,0.6513814491337868,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,12892,107,101,10.6,0.83,225,20,4050.0,down,LOW,keyword article,informational,181-365,0-30,3500+,good,striking
71,content_46c1b521c941,client_3fdba35f04,78.10626281980748,random_forest,0.8205456413840274,0.6508939413676305,high,refresh,declining_with_demand|model_decline_risk|visible_model_opportunity,1,4621,1,15,35.2,0.02,124,104,1522.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,good,page_3_5
72,content_558fd4b27659,client_3fdba35f04,78.0228126261598,random_forest,0.8142671465916497,0.6619696636972788,high,refresh_and_review_engagement,declining_with_demand|low_engagement_visible_page|model_decline_risk|visible_model_opportunity|engagement_review_candidate,1,2559,6,34,20.2,0.23,144,104,1402.0,down,LOW,keyword article,informational,91-180,91-180,1000-2000,moderate,page_3_5
